Dataset,Type,Pred_Len,Lambda,Test_MSE,Test_MAE,Impulse_MSE,Impulse_Degrad,Spurious_MSE,Spurious_Degrad
ETTh1,ETT,96,100.0,0.7250,0.6077,0.8253,13.83%,1.1928,64.52%
ETTh1,ETT,192,0.5,0.7049,0.6156,0.7392,4.86%,0.9317,32.17%
ETTh1,ETT,336,0.05,0.7785,0.6421,0.8507,9.28%,1.1477,47.43%
ETTh1,ETT,720,0.01,0.8084,0.6768,0.9180,13.56%,1.0886,34.67%
ETTh2,ETT,96,50.0,0.2848,0.3933,0.5605,96.78%,0.3187,11.89%
ETTh2,ETT,192,0.01,0.5901,0.5294,1.5099,155.88%,1.2300,108.45%
ETTh2,ETT,336,100.0,0.4039,0.4741,0.8551,111.69%,0.5276,30.62%
ETTh2,ETT,720,50.0,0.5663,0.5661,0.7343,29.66%,0.9828,73.53%
ETTm1,ETT,96,1.0,0.5388,0.5138,0.7423,37.78%,0.7705,43.02%
ETTm1,ETT,192,1.0,0.6171,0.5489,0.7991,29.48%,1.0646,72.51%
ETTm1,ETT,336,0.01,0.7070,0.5983,1.4372,103.28%,1.1030,56.02%
ETTm1,ETT,720,5.0,0.7673,0.6396,1.0730,39.85%,1.2658,64.97%
ETTm2,ETT,96,5.0,0.2138,0.3268,2.3019,976.52%,0.9927,364.25%
ETTm2,ETT,192,5.0,0.3734,0.4638,0.8411,125.26%,0.6916,85.22%
ETTm2,ETT,336,100.0,0.3785,0.4603,0.8434,122.81%,1.0753,184.09%
ETTm2,ETT,720,0.01,0.5066,0.5261,1.4266,181.62%,2.1247,319.43%
traffic,Traffic,96,2.0,0.6366,0.3742,0.6366,0.00%,0.6365,-0.00%
traffic,Traffic,192,5.0,0.6605,0.3801,0.6605,-0.00%,0.6605,0.00%
traffic,Traffic,336,2.0,0.6841,0.3896,0.6841,-0.00%,0.6841,0.01%
traffic,Traffic,720,2.0,0.7059,0.4000,0.7059,0.00%,0.7061,0.02%
weather,Weather,96,100.0,0.2285,0.3036,1.2870,463.24%,1.1864,419.21%
weather,Weather,192,100.0,0.2927,0.3563,0.8482,189.77%,0.8219,180.77%
weather,Weather,336,50.0,0.3189,0.3663,0.7533,136.22%,0.5204,63.19%
weather,Weather,720,50.0,0.3983,0.4170,0.9579,140.51%,1.0467,162.82%
